time,x,y,theta,theta_degree,v,omega
0.2,-1.6117879904430088e-05,2.5077822486249332e-05,-1.000077230750056,-57.300204509109165,0.08943298799654341,0.06395145891240533
0.235,-2.0707859410135088e-05,3.2203465708773374e-05,-1.0001106786834246,-57.302120934524616,0.08942928423423187,-0.06981893136037293
0.267,-2.0668736129783594e-05,3.2161156365629814e-05,-1.0001106504800013,-57.30211931858749,0.08942537645273978,-0.06749628558465672
0.3,-2.0668272234616522e-05,3.2162194642988e-05,-1.0001106406629443,-57.30211875611156,0.0894208248608423,-0.06284418560972953
0.334,0.0001818305187894411,-0.0002829873026542126,-0.9996600738149423,-57.27630317733253,0.08941558134467044,-0.05180430396101551
0.367,0.0007912671324144058,-0.0012297165705013637,-0.9984039354147243,-57.20433174851573,0.08940995439268287,-0.03303911115084083
0.4,0.0018532545017910258,-0.002873408825058231,-0.9962933387663788,-57.083403468311076,0.08940379785897284,-0.07402911717019266
0.434,0.003287820919309979,-0.005083321091692414,-0.9945358813649047,-56.98270857653257,0.08939690092465466,-0.11854405329944441
0.467,0.004878474015071856,-0.007537434338340646,-0.9968044011878077,-57.11268518812668,0.08938966935269763,-0.14444324530232935
0.5,0.0065183746549117415,-0.010084668514004492,-1.0004993165443274,-57.324388243713344,0.08938190837914103,-0.14591828716016364
0.534,0.008100810120429375,-0.012564904449242291,-1.0048654498591212,-57.574549255442484,0.08937335858904501,-0.12540209490152668
0.567,0.009665636261065763,-0.015041910317087681,-1.009416076026674,-57.83528092898505,0.08936452298681234,-0.12165356910776508
0.6,0.011257906161474505,-0.017587252444159505,-1.0136807615523815,-58.07962941055863,0.08935515820631766,-0.11742342983131158
0.639,0.01279309928024805,-0.020063916632579122,-1.0176871868064339,-58.30918066855046,0.08934340860614783,-0.07760720727569738
0.678,0.014318853839370744,-0.02254707706741704,-1.02155394741831,-58.53072973199838,0.08933092016795405,-0.07103581207428916
0.7,0.015892043790428592,-0.02512594866093485,-1.0241977334267336,-58.68220751221679,0.08932354952233941,-0.18055285463640222
0.734,0.01740938863872976,-0.027627011538725328,-1.0265296049969046,-58.81581391155414,0.08931169624752032,-0.08081868061161447
0.767,0.01889779393292004,-0.030099926993819665,-1.0314659609610004,-59.09864627447106,0.08929965487772162,-0.0763806605964538
0.8,0.0204273845300484,-0.03266809166184883,-1.034701780626348,-59.284045084560915,0.0892870849060331,-0.07214445849699061
0.834,0.021891420498986514,-0.03513820985732953,-1.0365024726811856,-59.38721713950584,0.08927358127223943,-0.05878653378359738
0.869,0.023325865886769243,-0.03756589448566102,-1.0374265680590669,-59.44016390452599,0.08925909460918068,-0.05092191148850461
0.9,0.024751436781790412,-0.03997922868191021,-1.0369809660399683,-59.414632789489126,0.08924576733336309,-0.06429809680876589
0.934,0.026099587555339684,-0.04225732098930601,-1.0359048375848592,-59.35297517079744,0.08923061444292034,-0.04861875172206145
0.967,0.027437193710269626,-0.04451076476978149,-1.0349824576600792,-59.300126693999964,0.08921537123649831,-0.05271790662661249
1.0,0.028805209758778788,-0.04681532211921066,-1.0356171629702926,-59.33649262950973,0.08919960017760227,-0.05503107802658898
1.034,0.03015531481561905,-0.04909804639771336,-1.0378082342856894,-59.46203176849414,0.08918279926796399,-0.047992889145712314
1.067,0.031559218687940746,-0.05148768759255462,-1.0411332008639873,-59.65253832045267,0.0891659569451565,-0.050171220619047587
1.1,0.03304583673459136,-0.054035181866821845,-1.0435074145436127,-59.78857074395743,0.08914858720952686,-0.05143163199463756
1.134,0.03452259160149751,-0.056576135601887234,-1.045032747273924,-59.87596587175744,0.08913013965334647,-0.04423737567697537
1.167,0.03598926909148012,-0.05910934418228343,-1.0467365076084316,-59.973584148226514,0.08911169959041158,-0.043645360195054335
1.201,0.03749691724620542,-0.061722884759620934,-1.0482359912668742,-60.05949823330411,0.08909214961633274,-0.0404902906092899
1.2349999999999999,0.038956328028488765,-0.06426140741742785,-1.0496749774481071,-60.14194606826641,0.08907204047823061,-0.03474333642738189
1.267,0.040412439050233506,-0.0668022886819986,-1.0510069570427938,-60.2182628774395,0.08905260360737152,-0.0376661507956904
1.3,0.041910028491778765,-0.06942310460523878,-1.0521835078571433,-60.2856742734844,0.08903204090839424,-0.03501773999240654
1.334,0.043360121761925954,-0.07196791345466454,-1.0534134579288688,-60.356145221606084,0.08901030471829875,-0.027456049435143143
1.3679999999999999,0.044806795261620486,-0.07451375897601722,-1.0545667426835081,-60.4222235706237,0.08898801013821042,-0.025099072150607592
1.4,0.046295651852186634,-0.07714012000027676,-1.055495659120371,-60.47544656197628,0.08896651710650416,-0.03045950361375064
1.435,0.04773841080983177,-0.07969034306400481,-1.0563198460840324,-60.52266899652378,0.08894244316977147,-0.01981870564975239
1.467,0.04918141149245134,-0.08224618341075933,-1.0572348074970341,-60.5750924239061,0.08891991548784632,-0.024199990206449643
1.508,0.05066452468630536,-0.08487785567296564,-1.057889219303705,-60.61258745849187,0.08889033016535615,-0.013741438652577443
1.534,0.05210323239023722,-0.0874348160156023,-1.0586143690359804,-60.654135477666294,0.08887114884636803,-0.04076744944293739
1.567,0.053540079286096845,-0.08999188982140446,-1.0590440417367475,-60.67875390999224,0.08884633421347221,-0.017742446678864786
1.6,0.055017989757609694,-0.09262731858845893,-1.0602821526069774,-60.749692437425686,0.08882099501656376,-0.017872079422818758
1.634,0.05644837258075806,-0.09518339540697555,-1.0608514996189522,-60.78231361829022,0.08879433955556593,-0.012797797663221212
1.667,0.05787685720679919,-0.09773940920509899,-1.0614202728820974,-60.814901925768325,0.08876793603567842,-0.013005098577892272
1.7,0.059347743312468185,-0.10037416766421092,-1.0618297953370768,-60.83836583405448,0.0887410086518893,-0.013632191036285234
1.734,0.060773953685405224,-0.10293139027943728,-1.0622325297522064,-60.86144081630608,0.08871271762456703,-0.010166151076066908
1.767,0.06219856592813239,-0.10548823134076098,-1.062653402439583,-60.88555504500509,0.08868472738342942,-0.010363823349434663
1.8,0.06366532525555323,-0.10812294570602263,-1.0629818525194759,-60.90437384836368,0.08865621402204456,-0.010941957744071083
1.834,0.06508732710936808,-0.11067920147848306,-1.0633026806710002,-60.92275594739501,0.08862628975018912,-0.008221918734184156
1.867,0.06650756911318265,-0.11323428557640572,-1.063641734786866,-60.94218231726066,0.08859671508553879,-0.008283127688947702
1.9,0.06796964549916527,-0.1158660433009377,-1.0638889033575865,-60.95634403319122,0.08856661808788525,-0.008859810041377663
1.935,0.06938690607892313,-0.11841839669046955,-1.064108841967762,-60.96894558730625,0.0885341265530307,-0.006837040342950032
1.967,0.07079456844981517,-0.120954180624773,-1.0641214025003891,-60.969665252814224,0.08850390637109512,-0.0077129972477497505
2.001,0.07221859060151829,-0.12351832538562975,-1.063450830151296,-60.93124428735301,0.08847126012843248,-0.007055698062125543
2.034,0.0735542554969014,-0.12591600586702456,-1.061730558391994,-60.832679975929466,0.08843904495966924,-0.009331852174246326
2.067,0.07486052115291196,-0.1282486212150937,-1.0591931232676268,-60.68729565251497,0.08840630886991858,-0.013307065323585578
2.1,0.07620115592033398,-0.13062771177422064,-1.0565236243119303,-60.53434462893898,0.08837305215262416,-0.017277335893204945
2.134,0.07751593251280922,-0.13294746450039954,-1.0544929022838136,-60.41799282736365,0.08833824343963484,-0.021900244237698804
