time,x,y,theta,theta_degree,v,omega
0.467,-2.0668736129783594e-05,3.2161156365629814e-05,-1.0001106504800013,-57.30211931858749,0.08938966935269763,0.0008972492778719724
0.5,-2.0668272234616522e-05,3.2162194642988e-05,-1.0001106406629443,-57.30211875611156,0.08938190837914103,0.0009568500135340994
0.534,-2.066872088513777e-05,3.2163262232943676e-05,-1.0001106385452203,-57.302118634774914,0.08937335858904501,0.001021858451512571
0.567,-2.0668752583385963e-05,3.2163384292883956e-05,-1.00011063812218,-57.30211861053649,0.08936452298681234,0.0010851328998311613
0.601,0.00019473692180094898,-0.00030306636742892176,-0.9996364155580415,-57.27494765906148,0.08935486616513967,-0.002220619507724888
0.634,0.000816883736416427,-0.00126946965779,-0.9983587094175695,-57.20174048975449,0.08934495625773414,-0.008885496820270077
0.667,0.0018539259235099423,-0.002874487221022872,-0.9962997312623147,-57.08376973134876,0.08933451734588538,-0.015777005684781055
0.701,0.0033436031366911936,-0.005168795410593709,-0.9943008897394217,-56.96924454817148,0.08932320890841124,-0.02284369054011029
0.734,0.004948830291655129,-0.007639134017429634,-0.9947953969891811,-56.997577726521314,0.08931169624752032,-0.025537559329699772
0.767,0.00655153382806976,-0.010109026747677885,-0.9955173243275907,-57.0389411161273,0.08929965487772162,-0.02533571962503647
0.8,0.008199583270710844,-0.012653163049520839,-0.9963642157680286,-57.08746442137015,0.0892870849060331,-0.02589664013661231
0.835,0.009796488517239464,-0.015122873191423945,-0.9971866762884556,-57.134587938006746,0.08927317561510649,-0.02334812270981633
0.867,0.011390933279870076,-0.017593286914244437,-0.9980275891334199,-57.182768694961545,0.08925993842721237,-0.02541952386232789
0.9,0.013031537655791153,-0.020139740286789914,-0.9988107392146273,-57.227639889340054,0.08924576733336309,-0.025158638270596535
0.934,0.014621232112155116,-0.022611542637215133,-0.9996398488713213,-57.27514437342216,0.08923061444292034,-0.023381670245379446
0.97,0.016208270040293855,-0.025083719696868238,-1.0004665221705618,-57.322509264504795,0.08921395931388278,-0.02176786890464283
1.0,0.017841166271051687,-0.027631845308778408,-1.0012583181857784,-57.36787583441198,0.08919960017760227,-0.027010754215012513
1.034,0.019423827832101014,-0.030105649466079264,-1.0019687487887803,-57.408580509600924,0.08918279926796399,-0.022695296023201555
1.067,0.021002856908521318,-0.03257811932772653,-1.0028624467864466,-57.4597856330265,0.0891659569451565,-0.023172890430291106
1.1,0.0226265722958296,-0.035125123551524154,-1.0035524208915985,-57.49931823722502,0.08914858720952686,-0.02366567326041495
1.134,0.02419263551227234,-0.0375853179285595,-1.0042042597615883,-57.53666585339801,0.08913013965334647,-0.021879163982139713
1.167,0.025731588951354533,-0.040005021888945266,-1.004210938778516,-57.53704853287927,0.08911169959041158,-0.022052249230737956
1.2,0.027256030100554843,-0.042399353412435434,-1.00319814127224,-57.47901951026827,0.08909273259763568,-0.02187853960883674
1.236,0.028674756570620633,-0.044621795705847594,-1.0021868724125713,-57.42107807265625,0.08907144057007278,-0.018561673591655392
1.267,0.030080310685322357,-0.046818494123483795,-1.0012158565078524,-57.36544295947578,0.08905260360737152,-0.021772986546470512
1.3,0.0315632571646756,-0.049130807579175664,-1.0000513841799021,-57.298723609724455,0.08903204090839424,-0.02171590348987103
1.334,0.03307155465411541,-0.05147663297363058,-0.9989694991201841,-57.23673616188435,0.08901030471829875,-0.021583000353345618
1.367,0.034644310524580155,-0.053920966059287846,-0.9993399221523293,-57.25795983826071,0.08898867382928864,-0.023343565816104913
1.4,0.036277255078686635,-0.05646260676684438,-1.0000648173784148,-57.29949327530459,0.08896651710650416,-0.02412670223608253
1.434,0.037860104193886274,-0.058930300892345314,-1.000813815893223,-57.34240772906467,0.08894313919987061,-0.022397431636337985
1.467,0.03944023119500496,-0.061397981039325575,-1.001604257012217,-57.38769666913662,0.08891991548784632,-0.02289018146084691
1.5,0.041066152208981285,-0.0639414849751087,-1.0023559230370769,-57.43076395996447,0.08889616655519848,-0.023406230801284903
1.534,0.04264169455663577,-0.06641027532113918,-1.0031046244833637,-57.473661392952046,0.08887114884636803,-0.021701758920090304
1.567,0.044214718650930164,-0.06887924598204363,-1.0038723905928302,-57.51765115067766,0.08884633421347221,-0.02218152253724717
1.6,0.04583334356999824,-0.07142397840093648,-1.0046063120101918,-57.559701750386736,0.08882099501656376,-0.022681719112686474
